year,position,artist,title
1991,20,Nomad featuring MC Mikee Freedom,(I Wanna Give You) Devotion
1991,21,George Michael & Elton John,Don't Let The Sun Go Down On Me
1991,22,The Scorpions,Wind Of Change
1991,23,Beverley Craven,Promise Me
1991,24,The KLF featuring The Children Of The Revolution,Last Train To Trancentral
1991,25,Kenny Thomas,Thinking About Your Love
1991,26,Seal,Crazy
1991,27,Rod Stewart,Rhythm Of My Heart
1991,28,Diana Ross,When You Tell Me That You Love Me
1991,29,Zoe,Sunshine On A Rainy Day
1991,30,Hale & Pace & The Stonkers,The Stonk
1991,31,Crystal Waters,Gypsy Woman (La Da Dee)
1991,32,Orchestral Manoeuvres In The Dark,Sailing On The Seven Seas
1991,33,The Source featuring Candi Staton,You Got The Love
1991,34,The Prodigy,Charly
1991,35,Kiri Te Kanawa,World In Union
1991,36,Roxette,Joyride
1991,37,Queen,Bohemian Rhapsody / These Are The Days Of Our Lives
1991,38,The Shamen,Move Any Mountain
1991,39,Guns N' Roses,You Could Be Mine
1991,40,The KLF featuring Tammy Wynette,Justified And Ancient
1991,41,Two In A Room,Wiggle It
1991,42,Erasure,Chorus
1991,43,The Waterboys,The Whole Of The Moon
1991,44,C&C Music Factory featuring Freedom Williams,Things That Make You Go Hmmm...
1991,45,Oleta Adams,Get Here
1991,46,Paula Abdul,Rush Rush
1991,47,Salt-N-Pepa,Do You Want Me
1991,48,Zucchero featuring Paul Young,Senza Una Donna (Without A Woman)
1991,49,Madonna,Crazy For You
1991,50,Erasure,Love To Hate You
1991,51,PM Dawn,Set Adrift On Memory Bliss
1991,52,Julian Lennon,Saltwater
1991,53,Color Me Badd,All 4 Love
1991,54,Altern 8,Activ 8 (Come With Me)
1991,55,Rozalla,Everybody's Free (To Feel Good)
1991,56,Cathy Dennis,Touch Me (All Night Long)
1991,57,Monty Python's Flying Circus,Always Look On The Bright Side Of Life
1991,58,Iron Maiden,Bring Your Daughter... To The Slaughter
1991,59,Quartz featuring Dina Carroll,It's Too Late
1991,60,U2,The Fly
1991,61,C&C Music Factory featuring Freedom Williams,Gonna Make You Sweat
1991,62,REM,Shiny Happy People
1991,63,Queen,Innuendo
1991,64,The Bee Gees,Secret Love
1991,65,Madonna,Rescue Me
1991,66,John Travolta & Olivia Newton-John,The Grease Megamix
1991,67,Vanilla Ice,Ice Ice Baby
1991,68,Utah Saints,What Can You Do For Me
1991,69,East Side Beat,Ride Like The Wind
1991,70,Stevie B,Because I Love You (The Postman Song)
1991,71,Prince & The New Power Generation,Gett Off
1991,72,K-Klass,Rhythm Is A Mystery
1991,73,Bomb The Bass,Winter In July
1991,74,Soft Cell featuring Marc Almond,Tainted Love
1991,75,Orchestral Manoeuvres In The Dark,Pandora's Box
1991,76,Sabrina Johnston,Peace
1991,77,Xpansions,Move Your Body (Elevation)
1991,78,Praise,Only You
1991,79,Kylie Minogue,What Do I Have To Do?
1991,80,Martika,Love... Thy Will Be Done
1991,81,Bizarre Inc,Playing With Knives
1991,82,Bette Midler,From A Distance
1991,83,Incognito featuring Jocelyn Brown,Always There
1991,84,The Farm,All Together Now
1991,85,The Wonder Stuff,The Size Of A Cow
1991,86,Free,All Right Now
1991,87,Soho,Hippy Chick
1991,88,Gary Clail On-U Sound System,Human Nature
1991,89,Divinyls,I Touch Myself
1991,90,The Simpsons,Deep Deep Trouble
1991,91,Kylie Minogue & Keith Washington,If You Were With Me Now
1991,92,Pet Shop Boys,Where The Streets Have No Name / Can't Take My Eyes Off You / How Can You Expect To Be Taken Seriously?
1991,93,Brian May,Driven By You
1991,94,Dannii Minogue,Love And Kisses
1991,95,Arnee & The Terminaters,I'll Be Back
1991,96,Bassheads,Is There Anybody Out There?
1991,97,Living Colour,Love Rears Its Ugly Head
1991,98,DJ Jazzy Jeff & The Fresh Prince,Summertime
1991,99,Kym Sims,Too Blind To See It
1991,100,EMF,I Believe
1995,1,Celine Dion,Think Twice
1995,2,Robson Green & Jerome Flynn,Unchained Melody / White Cliffs Of Dover
1995,3,The Outhere Brothers,Boom Boom Boom
